Series.Code,Series.Name,Topic,SubTopic1,SubTopic2,SubTopic3
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",Environment,Agricultural production,,
AG.CON.FERT.PT.ZS,Fertilizer consumption (% of fertilizer production),Environment,Agricultural production,,
AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),Environment,Agricultural production,,
AG.LND.AGRI.K2,Agricultural land (sq. km),Environment,Land use,,
AG.LND.AGRI.ZS,Agricultural land (% of land area),Environment,Land use,,
AG.LND.ARBL.HA,Arable land (hectares),Environment,Land use,,
AG.LND.ARBL.HA.PC,Arable land (hectares per person),Environment,Land use,,
AG.LND.ARBL.ZS,Arable land (% of land area),Environment,Land use,,
AG.LND.CREL.HA,Land under cereal production (hectares),Environment,Agricultural production,,
AG.LND.CROP.ZS,Permanent cropland (% of land area),Environment,Land use,,
AG.LND.EL5M.ZS,Land area where elevation is below 5 meters (% of total land area),Environment,Land use,,
AG.LND.FRST.K2,Forest area (sq. km),Environment,Land use,,
AG.LND.FRST.ZS,Forest area (% of land area),Environment,Land use,,
AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),Environment,Land use,,
AG.LND.PRCP.MM,Average precipitation in depth (mm per year),Environment,Land use,,
AG.LND.TOTL.K2,Land area (sq. km),Environment,Land use,,
AG.LND.TRAC.ZS,"Agricultural machinery, tractors per 100 sq. km of arable land",Environment,Agricultural production,,
AG.PRD.CREL.MT,Cereal production (metric tons),Environment,Agricultural production,,
AG.PRD.CROP.XD,Crop production index (2004-2006 = 100),Environment,Agricultural production,,
AG.PRD.FOOD.XD,Food production index (2004-2006 = 100),Environment,Agricultural production,,
AG.PRD.LVSK.XD,Livestock production index (2004-2006 = 100),Environment,Agricultural production,,
AG.SRF.TOTL.K2,Surface area (sq. km),Environment,Land use,,
AG.YLD.CREL.KG,Cereal yield (kg per hectare),Environment,Agricultural production,,
BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP),Economic Policy & Debt,Balance of payments,Current account,"Goods, services & income"
